idx,char_pos,cmdVx,cmdVy,cmdVw,ts
154,43368,0.01,0.0,0.0,2026-05-06 18:23:48.719
155,43588,0.01,0.0,0.0,2026-05-06 18:23:48.719
156,43827,0.035,0.0,0.0,2026-05-06 18:23:48.719
157,44160,0.005,0.0,0.0,2026-05-06 18:23:48.719
158,44433,0.015,0.0,0.0,2026-05-06 18:23:48.911
159,44784,0.05,0.0,0.0,2026-05-06 18:23:48.911
160,45003,0.05,0.0,0.0,2026-05-06 18:23:48.911
161,45241,0.09,0.0,0.0,2026-05-06 18:23:48.911
162,45460,0.09,0.0,0.0,2026-05-06 18:23:48.911
163,45699,0.125,0.0,0.0,2026-05-06 18:23:48.911
164,46033,0.13,0.0,0.0,2026-05-06 18:23:48.911
165,46136,0.16,0.0,0.0,2026-05-06 18:23:48.911
166,46467,0.165,0.0,0.0,2026-05-06 18:23:48.969
167,46683,0.2,0.0,0.0,2026-05-06 18:23:48.969
168,46904,0.2,0.0,0.0,2026-05-06 18:23:48.969
169,47143,0.235,0.0,0.0,2026-05-06 18:23:48.969
170,47474,0.24,0.0,0.0,2026-05-06 18:23:49.228
171,47804,0.275,0.0,0.0,2026-05-06 18:23:49.228
172,48100,0.31,0.0,0.0,2026-05-06 18:23:49.228
173,48320,0.31,0.0,0.0,2026-05-06 18:23:49.228
174,48585,0.35,0.0,0.0,2026-05-06 18:23:49.228
175,48803,0.35,0.0,0.0,2026-05-06 18:23:49.228
176,49042,0.35,0.0,0.0,2026-05-06 18:23:49.228
177,49373,0.35,0.0,0.0,2026-05-06 18:23:49.228
178,49476,0.35,0.0,0.0,2026-05-06 18:23:49.228
179,49807,0.35,0.0,0.0,2026-05-06 18:23:49.228
180,50023,0.35,0.0,0.0,2026-05-06 18:23:49.228
181,50242,0.35,0.0,0.0,2026-05-06 18:23:49.318
182,50480,0.35,0.0,0.0,2026-05-06 18:23:49.318
183,50811,0.35,0.0,0.0,2026-05-06 18:23:49.318
184,50857,0.35,0.0,0.0,2026-05-06 18:23:49.318
185,51465,0.35,0.0,0.0,2026-05-06 18:23:49.410
186,51682,0.35,0.0,0.0,2026-05-06 18:23:49.410
187,51954,0.35,0.0,0.0,2026-05-06 18:23:49.410
188,52172,0.35,0.0,0.0,2026-05-06 18:23:49.410
189,52745,0.35,0.0,0.0,2026-05-06 18:23:49.723
190,52848,0.35,0.0,0.0,2026-05-06 18:23:49.723
191,53180,0.35,0.0,0.0,2026-05-06 18:23:49.723
192,53396,0.35,0.0,0.0,2026-05-06 18:23:49.723
193,53638,0.35,0.0,0.0,2026-05-06 18:23:49.723
194,53867,0.35,0.0,0.0,2026-05-06 18:23:49.723
195,54199,0.35,0.0,0.0,2026-05-06 18:23:49.723
196,54244,0.35,0.0,0.0,2026-05-06 18:23:49.723
197,54576,0.35,0.0,0.0,2026-05-06 18:23:49.723
198,54849,0.35,0.0,0.0,2026-05-06 18:23:49.723
199,55068,0.35,0.0,0.0,2026-05-06 18:23:49.723
200,55307,0.35,0.0,0.0,2026-05-06 18:23:49.723
201,55525,0.35,0.0,0.0,2026-05-06 18:23:49.723
202,55764,0.35,0.0,0.0,2026-05-06 18:23:49.723
203,56095,0.35,0.0,0.0,2026-05-06 18:23:49.837
204,56256,0.35,0.0,0.0,2026-05-06 18:23:49.837
205,56473,0.35,0.0,0.0,2026-05-06 18:23:49.837
206,56747,0.35,0.0,0.0,2026-05-06 18:23:49.837
207,56965,0.35,0.0,0.0,2026-05-06 18:23:49.837
208,57204,0.35,0.0,0.0,2026-05-06 18:23:50.185
209,57539,0.35,0.0,0.0,2026-05-06 18:23:50.185
210,57585,0.35,0.0,0.0,2026-05-06 18:23:50.185
211,57919,0.35,0.0,0.0,2026-05-06 18:23:50.185
212,58191,0.35,0.0,0.0,2026-05-06 18:23:50.185
213,58410,0.35,0.0,0.0,2026-05-06 18:23:50.185
214,58708,0.35,0.0,0.0,2026-05-06 18:23:50.185
215,58926,0.35,0.0,0.0,2026-05-06 18:23:50.185
216,59142,0.35,0.0,0.0,2026-05-06 18:23:50.185
217,59475,0.35,0.0,0.0,2026-05-06 18:23:50.185
218,59632,0.35,0.0,0.0,2026-05-06 18:23:50.185
219,59851,0.35,0.0,0.0,2026-05-06 18:23:50.185
220,60124,0.35,0.0,0.0,2026-05-06 18:23:50.185
221,60341,0.35,0.0,0.0,2026-05-06 18:23:50.185
222,60617,0.35,0.0,0.0,2026-05-06 18:23:50.185
223,60948,0.35,0.0,0.0,2026-05-06 18:23:50.185
224,60994,0.35,0.0,0.0,2026-05-06 18:23:50.185
225,61326,0.35,0.0,0.0,2026-05-06 18:23:50.285
226,61565,0.35,0.0,0.0,2026-05-06 18:23:50.285
