idx,char_pos,cmdVx,cmdVy,cmdVw,ts
124,29317,0.0,0.0,0.0,2026-05-06 15:22:00.950
125,29544,0.0,0.0,0.0,2026-05-06 15:22:00.950
126,29603,0.0,0.0,0.0,2026-05-06 15:22:00.950
127,29831,0.0,0.0,0.0,2026-05-06 15:22:00.950
128,30072,0.0,0.0,0.0,2026-05-06 15:22:00.950
129,30301,0.0,0.0,0.0,2026-05-06 15:22:01.670
130,30541,0.0,0.0,0.0,2026-05-06 15:22:01.670
131,30769,0.0,0.0,0.0,2026-05-06 15:22:01.670
132,31010,0.0,0.0,0.0,2026-05-06 15:22:01.670
133,31237,0.0,0.0,0.0,2026-05-06 15:22:01.670
134,31478,0.0,0.0,0.0,2026-05-06 15:22:01.670
135,31706,0.0,0.0,0.0,2026-05-06 15:22:01.670
136,32126,0.0,0.0,0.0,2026-05-06 15:22:01.670
137,32354,0.0,0.0,0.0,2026-05-06 15:22:01.670
138,32599,0.0,0.0,0.0,2026-05-06 15:22:01.670
139,32827,0.0,0.0,0.0,2026-05-06 15:22:01.670
140,33066,0.0,0.0,0.0,2026-05-06 15:22:01.670
141,33293,0.0,0.0,0.0,2026-05-06 15:22:01.670
142,33536,0.0,0.0,0.0,2026-05-06 15:22:01.670
143,33765,0.0,0.0,0.0,2026-05-06 15:22:01.670
144,34006,0.0,0.0,0.0,2026-05-06 15:22:01.670
145,34234,0.0,0.0,0.0,2026-05-06 15:22:01.670
146,34473,0.0,0.0,0.0,2026-05-06 15:22:01.670
147,34700,0.0,0.0,0.0,2026-05-06 15:22:01.670
148,34760,0.0,0.0,0.0,2026-05-06 15:22:01.670
149,34988,0.0,0.0,0.0,2026-05-06 15:22:01.670
150,35229,0.0,0.0,0.0,2026-05-06 15:22:01.670
151,35458,0.0,0.0,0.0,2026-05-06 15:22:01.670
152,35698,0.0,0.0,0.0,2026-05-06 15:22:01.670
153,35929,0.0,0.0,0.0,2026-05-06 15:22:01.670
154,36170,0.0,0.0,0.0,2026-05-06 15:22:01.670
155,36398,0.0,0.0,0.0,2026-05-06 15:22:01.670
156,36820,0.0,0.0,0.0,2026-05-06 15:22:01.670
157,37047,0.0,0.0,0.0,2026-05-06 15:22:01.670
158,37289,0.0,0.0,0.0,2026-05-06 15:22:01.670
159,37517,0.0,0.0,0.0,2026-05-06 15:22:01.670
160,37757,0.0,0.0,0.0,2026-05-06 15:22:01.670
161,37984,0.0,0.0,0.0,2026-05-06 15:22:01.670
162,38224,0.0,0.0,0.0,2026-05-06 15:22:02.411
163,38451,0.0,0.0,0.0,2026-05-06 15:22:02.411
164,38692,0.0,0.0,0.0,2026-05-06 15:22:02.411
165,38920,0.0,0.0,0.0,2026-05-06 15:22:02.411
